"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106551662534.896","114095549989.241","123305544162.741","132454587644.194","140952914093.505","151195041052.242","160847931622.764","171288891529.511","182218962472.602","193744439949.01","208928912198.485","224096107343.903","238141390328.605","254435833610.222","275623066080.42","303102046601.958","336538646781.819","372342159956.1","406422852468.887","430340508055.773","460458409329.875","499623842867.126","570177672917.888","616569261196.949","662428199724.602","707741905118.267","770879103187.534","819232336678.198","933669359748.506","1038098559456.84","1150025815983.89","1313226689114.99","1488102430377.47","1631145526646.7","1746416616549.66",
"Bulgaria","BGR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60567692521.6274","55944585747.2289","58084789808.0929","58498493942.9688","60706566760.5922","63564596291.1515","55411157255.9188","46281893895.1623","50045361769.0305","47039455824.1911","51194069590.9579","55849834218.4836","62301362443.5962","66512731239.9077","71837873001.1259","79042254338.0896","84566271776.445","89620235825.6878","102296674660.949","102186406763.918","108292655727.431","112094551971.094","117703331840.009","118282506989.605","125859537515.731","127719143867.887","138252992002.457","148110730564.031","155538633063.097","171861394166.468","172855936354.802","193499192182.589","219003095117.891","229929171535.793","252144739525.349",
"Bahrain","BHR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12817709106.5361","14585888692.8553","15386736725.1763","17000666076.3499","17207231632.701","18897899117.3147","20154939883.8591","20435044942.301","21901788345.0415","22818484010.662","28410780853.1031","29433749209.7894","30286711837.8591","33183729043.3227","36485618758.8295","40928200146.1722","45150320463.4131","50581652765.9466","53544033950.9649","51306180431.1781","55154566532.8173","55029117258.6701","66402419646.2032","68072823971.4905","68027917039.8448","62309169626.4093","63947711232.7998","71304134632.3664","74049989421.4865","79286106672.1106","73270788848.9241","77554670107.9553","90066506256.5717","95488991540.2621","101060228219.953",
"Bahamas, The","BHS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5292436212.88591","5233171597.63513","5244999534.19634","5337570868.81396","5620839710.35393","6621839638.52506","7385193138.05521","6555175935.53476","6907255435.73199","7601535629.65794","8089139372.81855","8431730610.59496","8822882720.03093","8915766950.55209","9251166064.1423","9836090340.13816","10363458952.23","10794065564.8893","10905212633.1867","10430897295.5003","10632584034.2775","10916607291.808","11349314478.1882","11154056388.3328","11653938367.6426","11866360990.4984","11942116097.1791","12799933102.7393","12933297122.2329","13586104108.039","10215844113.7533","11585334270.7236","13833382062.9171","15003250624.4131","",
"Bosnia and Herzegovina","BIH","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3985779851.38201","3735359975.82493","3574576494.41544","3579486345.56006","4222964922.30423","5007898424.97052","8220339329.63548","11600642870.8622","16707649773.9186","18022117662.4159","18889230781.5498","19492876749.6258","20785349967.7796","21527706694.2844","24474640252.8211","25415426436.0664","28767160548.1443","31765498772.9467","35149247894.0299","35028381227.5769","35197807824.4117","36819424160.1786","37436207722.327","39547041422.7195","40137175976.9267","41970810516.3825","44858689336.9944","46335489552.2769","50036135875.4263","54869125871.192","53707702803.3923","58580681043.2068","66784646803.8644","71278671389.0441","69303776268.9151",
"Belarus","BLR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53193233762.3329","54332225386.9322","50235620769.4633","47566204726.8573","42794041613.8795","39185693957.3832","41082238931.3365","46437450321.5874","50952095852.0328","53507001653.8945","57599290456.9595","61718401402.6068","65934629650.8455","72222674033.0393","82473657558.4381","93301104728.2802","105274373735.783","116721969813.396","130591012014.606","130469050516.377","142518283296.855","154983303603.245","167296412997.24","173248520791.098","174483588700.132","164291065067.719","160900350090.374","167632916104.313","182188717864.165","203844984018.9","223810524831.542","247425875072.912","251336575100.513","273834333990.833","294283361658.575",
"Belize","BLZ","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","806938834.724864","931617121.108538","1067902003.11576","1156560283.7506","1170693155.81754","1210986996.52041","1242343260.19036","1323144984.72031","1378836071.42181","1521358886.82191","1734768237.80548","1841471065.87496","1977192712.55523","2178063263.1119","2305888169.60005","2446244063.44252","2632139910.93754","2750504792.28288","2750636859.32729","2882652648.67899","2870212343.37513","3005250456.33558","2903701529.10749","3059718914.61548","3097866863.93763","3250819731.43327","3259186743.61953","3216115046.86564","3375862366.52629","3785115743.15433","3650946037.87387","4468004106.86792","5168042703.41498","5476874990.73147","6062140167.53474",
"Bermuda","BMU","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4701578067.87186","4635082852.05734","4596631368.50352","4756765522.24698","4747225573.39698","4992912409.27508","5246908291.18516","5670866795.2919","5666125729.75487","5912156946.15505","5643535681.09944","6223155948.25407","7174056726.86967","7554096910.16845","8040864840.80005",
"Bolivia","BOL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15453600780.4644","16903490341.8969","17779665559.8004","18960949760.1416","20383023459.5176","21778251404.4574","23206722557.724","24861955109.2917","26560285123.5805","26924456823.7723","28133084504.0182","29278563129.1921","30473935838.487","31542881183.0046","33514887939.0602","36261568757.1659","39365581664.208","42162991766.9617","45861085197.5324","47363291431.9478","49585817296.3594","53471345613.9369","57984722863.5605","66014570163.9237","72520017763.7691","76087068286.0695","82842020015.174","93689285686.7899","100534582613.153","104889828092.05","96888851220.6231","109983791241.621","121666837356.4","130010057066.834","135092151344.554",
"Brazil","BRA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970943125410.296","1018487037177.04","1039787181952.04","1110614656705.32","1183383349638.42","1291260864746.43","1344755550792.86","1409900217269.12","1424526541994.5","1436380069367.81","1536571396399.67","1586988046010.88","1659007167084.09","1714272367613.22","1865979623660.22","1987414876969.97","2138389134698.94","2338676737948.53","2496774336178.17","2515168077431.1","2712853462209.97","2894294561120.02","2917485069830.25","3077181547208.26","3107797557672.48","2932875378900.44","2846197824931.42","2924570810575.36","3098565570875.8","3244270827520.15","3289682051766.51","3669595464515.07","4059062517984.4","4329167193275.69","4589247204333.25",
